# 36551,-0.21826647,-0.058506694,0.6592081,0.8358392,0.0,2125246.0,0.0,770.0,1.0,2040.0
Postal Code 	 x 	 y 	 iseecode 	 place 	 population 	 surface 	 altitude
24300	-0.16116889	0.74446857	24001	Abjat-sur-Bandiat	624	28.85	260.0
62153	-0.1250113	0.82373476	62001	Ablain-Saint-Nazaire	1843	9.96	90.0
80320	-0.12520114	0.8139981	80002	Ablaincourt-Pressoir	227	9.96	86.0
62116	-0.12542032	0.8195164	62002	Ablainzevelle	172	4.26	140.0
51240	-0.10857067	0.7935273	51001	Ablancourt	172	7.16	100.0
95450	-0.13662414	0.80243504	95002	Ableiges	957	7.88	40.0
78660	-0.13990808	0.7928248	78003	Ablis	2705	26.24	150.0
14600	-0.15458606	0.8109588	14001	Ablon	1047	12.23	100.0
94480	-0.13270539	0.795416	94001	Ablon-sur-Seine	4867	1.12	40.0
42380	-0.12083264	0.7351734	42001	Aboën	234	8.94	720.0
57920	-0.08703688	0.79892373	57001	Aboncourt	346	5.89	200.0
54115	-0.09301107	0.783665	54003	Aboncourt	123	6.89	360.0
70500	-0.093927555	0.77346194	70002	Aboncourt-Gesincourt	204	10.69	230.0
57590	-0.08792506	0.79120696	57002	Aboncourt-sur-Seille	64	3.62	210.0
74360	-0.08786947	0.74660546	74001	Abondance	1294	58.84	920.0
28570	-0.14356813	0.7982555	28001	Abondant	1742	35.11	140.0
64360	-0.1844847	0.7093519	64005	Abos	481	8.55	116.0
57560	-0.07956986	0.7872444	57003	Abreschviller	1285	41.29	300.0
3200	-0.1274842	0.7481705	3001	Abrest	2428	10.32	280.0
5460	-0.0878338	0.7205367	5001	Abriès	354	77.78	1520.0
59215	-0.11867524	0.8217653	59002	Abscon	4135	7.45	52.0
33230	-0.17361028	0.7366793	33001	Abzac	1599	13.38	20.0
16500	-0.1602135	0.75346476	16001	Abzac	544	33.54	190.0
25250	-0.08801379	0.76796675	25005	Accolans	79	5.18	428.0
89460	-0.12057793	0.7747493	89001	Accolay	433	9.3	120.0
7160	-0.118908964	0.7256237	7001	Accons	419	10.01	620.0
64490	-0.18622234	0.7028826	64006	Accous	434	60.9	490.0
57340	-0.084845655	0.7925871	57004	Achain	95	4.78	250.0
57410	-0.07790232	0.794226	57006	Achen	938	11.92	270.0
67204	-0.07356711	0.78565073	67001	Achenheim	2183	6.1	150.0
78260	-0.13597596	0.80008405	78005	Achères	18942	9.57	25.0
18250	-0.13622858	0.7702996	18001	Achères	354	13.0	240.0
77760	-0.13196176	0.78867286	77001	Achères-la-Forêt	1040	12.64	110.0
2800	-0.11926619	0.81047875	2002	Achery	540	6.91	55.0
80560	-0.12782605	0.81846213	80003	Acheux-en-Amiénois	514	7.23	140.0
80210	-0.13725851	0.81983495	80004	Acheux-en-Vimeu	503	12.36	92.0
62320	-0.12313271	0.82327956	62003	Acheville	457	3.18	60.0
70180	-0.09864423	0.770495	70003	Achey	55	7.01	230.0
62217	-0.124794856	0.82158154	62004	Achicourt	7695	5.9	75.0
62121	-0.12487546	0.8190601	62005	Achiet-le-Grand	1016	5.01	120.0
62121	-0.1252475	0.8190031	62006	Achiet-le-Petit	328	7.42	125.0
58110	-0.12222896	0.7655253	58001	Achun	170	24.54	260.0
60690	-0.13532884	0.81057686	60004	Achy	288	12.89	101.0
35690	-0.17948596	0.79338664	35001	Acigné	5246	30.16	40.0
27800	-0.1507286	0.8062765	27001	Aclou	222	3.75	140.0
27570	-0.14746918	0.798535	27002	Acon	407	9.27	130.0
62144	-0.12572254	0.8230559	62007	Acq	502	4.85	90.0
50440	-0.17648175	0.81920075	50001	Acqueville	650	5.77	110.0
14220	-0.16337293	0.8051396	14002	Acqueville	178	6.74	156.0
27400	-0.14543192	0.80538315	27003	Acquigny	1438	17.95	20.0
62380	-0.13088012	0.8305787	62008	Acquin-Westbécourt	625	14.65	80.0
2200	-0.119887054	0.8044306	2003	Acy	951	11.63	140.0
60620	-0.12562902	0.80097985	60005	Acy-en-Multien	752	11.42	91.0
8300	-0.1091322	0.8057457	8001	Acy-Romance	443	11.06	80.0
57580	-0.08644309	0.7943702	57007	Adaincourt	107	3.41	230.0
78113	-0.14137591	0.7967241	78006	Adainville	824	10.21	133.0
25360	-0.09036556	0.7647326	25006	Adam-lès-Passavant	77	9.52	450.0
25530	-0.09023636	0.7624436	25007	Adam-lès-Vercel	67	3.09	660.0
67320	-0.077928334	0.79177684	67002	Adamswiller	459	3.31	280.0
65260	-0.17968157	0.70158607	65001	Adast	227	1.07	440.0
65100	-0.17854524	0.70423734	65002	Adé	674	7.59	420.0
57380	-0.08446426	0.79418164	57008	Adelange	208	5.9	260.0
70200	-0.08918656	0.7718659	70004	Adelans-et-le-Val-de-Bithaine	251	17.29	310.0
65240	-0.17411198	0.6978138	65003	Adervielle-Pouchergues	80	9.22	948.0
79200	-0.17030124	0.76580775	79002	Adilly	284	12.97	157.0
62116	-0.12557846	0.8202687	62009	Adinfer	212	6.37	125.0
34230	-0.13398394	0.70391273	34002	Adissan	736	4.49	60.0
45230	-0.1309113	0.7780739	45001	Adon	198	24.78	150.0
86430	-0.15861481	0.75593	86001	Adriers	797	68.12	180.0
20167	-0.068098836	0.6698526	0	Afa	2055	12.01	140.0
19260	-0.14921595	0.74124503	19001	Affieux	349	30.5	510.0
54800	-0.09358863	0.7997883	54004	Affléville	196	9.64	250.0
69170	-0.11655521	0.7421962	69001	Affoux	248	10.7	400.0
54740	-0.09047021	0.7852235	54005	Affracourt	114	5.65	260.0
62380	-0.13112544	0.8299383	62010	Affringues	203	2.97	70.0
31230	-0.16630419	0.7061721	31001	Agassac	121	9.62	300.0
34300	-0.13399355	0.7000225	34003	Agde	19988	51.14	7.0
34210	-0.14172761	0.70157945	34004	Agel	167	12.1	100.0
47000	-0.16705999	0.72110826	47001	Agen	30170	11.37	50.0
12630	-0.1412136	0.7194486	12001	Agen-d'Aveyron	1012	22.13	580.0
21700	-0.10693048	0.7635971	21001	Agencourt	422	4.2	220.0
80370	-0.13232672	0.8208345	80005	Agenville	91	3.37	125.0
80150	-0.13425782	0.82137793	80006	Agenvillers	181	5.97	75.0
52340	-0.10052273	0.780127	52001	Ageville	292	19.69	390.0
21410	-0.10914572	0.76662403	21002	Agey	258	8.43	330.0
20270	-0.06016825	0.67152554	0	Aghione	245	33.98	66.0
54770	-0.089252144	0.789863	54006	Agincourt	399	4.29	220.0
47350	-0.16953358	0.7265842	47002	Agmé	102	5.04	70.0
47800	-0.16874336	0.72934926	47003	Agnac	388	13.94	45.0
43100	-0.12930183	0.7350921	43001	Agnat	209	19.73	580.0
50180	-0.17120838	0.8092598	50002	Agneaux	4476	6.55	60.0
60600	-0.13127773	0.80678046	60007	Agnetz	2637	13.23	83.0
62161	-0.12579237	0.82235307	62011	Agnez-lès-Duisans	650	7.38	75.0
2340	-0.112937294	0.8100472	2004	Agnicourt-et-Séchelles	211	10.71	108.0
62690	-0.12625577	0.82326055	62012	Agnières	150	3.3	95.0
5250	-0.100919686	0.7200973	5002	Agnières-en-Dévoluy	212	32.24	1260.0
38150	-0.112174526	0.7327875	38003	Agnin	789	8.02	240.0
64400	-0.18584464	0.7061716	64007	Agnos	751	9.18	250.0
62217	-0.124828905	0.8213358	62013	Agny	1954	6.1	70.0
50230	-0.17663497	0.8090654	50003	Agon-Coutainville	2723	12.58	30.0
24460	-0.1621407	0.7394355	24002	Agonac	1451	38.18	130.0
34190	-0.12935366	0.70949626	34005	Agonès	179	4.1	180.0
3210	-0.12963378	0.7574052	3002	Agonges	357	24.25	230.0
65400	-0.17940849	0.7026799	65004	Agos-Vidalos	290	6.25	440.0
16110	-0.16561517	0.7486721	16003	Agris	710	18.71	80.0
17500	-0.17658424	0.74380034	17002	Agudelle	126	5.39	72.0
12520	-0.1365487	0.7152077	12002	Aguessac	833	17.79	380.0
2190	-0.11351399	0.80462295	2005	Aguilcourt	359	10.57	56.0
81470	-0.152945	0.70669466	81001	Aguts	187	9.86	290.0
14400	-0.16690074	0.8105927	14003	Agy	280	4.26	50.0
64220	-0.19272101	0.70732456	64008	Ahaxe-Alciette-Bascassan	320	14.56	280.0
64210	-0.19688278	0.712717	64009	Ahetze	1318	10.75	30.0
88500	-0.09050724	0.7820985	88002	Ahéville	67	5.87	320.0
53940	-0.17228498	0.78988063	53001	Ahuillé	1379	30.61	90.0
23150	-0.14424732	0.7504677	23001	Ahun	1501	34.02	460.0
21121	-0.1059395	0.76772034	21003	Ahuy	1356	6.5	290.0
59149	-0.110177144	0.81887466	59003	Aibes	385	9.26	200.0
25750	-0.08600589	0.76872015	25008	Aibre	455	4.46	359.0
64120	-0.19027665	0.71019447	64010	Aïcirits-Camou-Suhast	559	9.56	60.0
79230	-0.17290345	0.75911707	79003	Aiffres	4598	25.95	25.0
30700	-0.12156811	0.7114312	30001	Aigaliers	386	27.96	200.0
8090	-0.10374099	0.8100287	8003	Aiglemont	1733	8.87	250.0
39110	-0.09742836	0.7593856	39006	Aiglepierre	342	7.11	360.0
27120	-0.14316155	0.8020834	27004	Aigleville	248	3.22	120.0
6910	-0.08950365	0.7043011	6001	Aiglun	106	15.45	600.0
4510	-0.099004455	0.7088669	4001	Aiglun	1038	14.58	780.0
32290	-0.17533863	0.7135948	32001	Aignan	842	32.27	170.0
21510	-0.10867871	0.77327466	21004	Aignay-le-Duc	402	24.69	330.0
34210	-0.14244145	0.70158917	34006	Aigne	234	11.15	148.0
72650	-0.16083531	0.78848857	72001	Aigné	1349	12.78	70.0
14710	-0.16836457	0.8123349	14004	Aignerville	138	4.56	10.0
31550	-0.15766597	0.7037838	31002	Aignes	193	22.11	300.0
16190	-0.16895881	0.7434969	16004	Aignes-et-Puypéroux	269	13.04	144.0
80210	-0.1379875	0.81942356	80008	Aigneville	658	10.72	115.0
51150	-0.11164587	0.7978238	51003	Aigny	189	10.98	80.0
79370	-0.17091434	0.7594832	79004	Aigonnay	449	14.31	131.0
16140	-0.16909404	0.751429	16005	Aigre	1141	6.55	66.0
31280	-0.1569358	0.7080439	31003	Aigrefeuille	577	4.68	220.0
17290	-0.17960124	0.7574275	17003	Aigrefeuille-d'Aunis	3151	17.17	20.0
44140	-0.1816847	0.77496	44002	Aigrefeuille-sur-Maine	2151	14.72	43.0
78240	-0.13672906	0.7991414	78007	Aigremont	873	3.01	130.0
30350	-0.12427221	0.71015614	30002	Aigremont	449	12.59	150.0
89800	-0.11835511	0.7754795	89002	Aigremont	75	6.8	240.0
52400	-0.09653309	0.77803016	52002	Aigremont	18	4.88	430.0
73610	-0.10014563	0.73485494	73001	Aiguebelette-le-Lac	191	7.8	400.0
73220	-0.094175585	0.7342727	73002	Aiguebelle	901	3.97	320.0
73260	-0.091798075	0.7333188	73003	Aigueblanche	2664	19.58	480.0
81200	-0.14805394	0.70530987	81002	Aiguefonde	2631	19.2	341.0
63260	-0.13057403	0.74727064	63001	Aigueperse	2504	10.48	350.0
69790	-0.11523133	0.74966824	69002	Aigueperse	232	12.98	450.0
9240	-0.15990324	0.6994995	9001	Aigues-Juntes	49	7.73	380.0
30220	-0.12429335	0.70314246	30003	Aigues-Mortes	6012	57.89	2.0
30670	-0.12405585	0.7061014	30004	Aigues-Vives	2331	12.06	40.0
11800	-0.14601672	0.7003595	11001	Aigues-Vives	481	10.56	60.0
34210	-0.14215499	0.7016388	34007	Aigues-Vives	354	12.79	120.0
9600	-0.15494525	0.6976578	9002	Aigues-Vives	485	5.23	420.0
30760	-0.11812214	0.71527356	30005	Aiguèze	204	20.08	89.0
43000	-0.12469729	0.7292503	43002	Aiguilhe	1555	1.26	620.0
5470	-0.088570364	0.7203928	5003	Aiguilles	441	40.68	1470.0
47190	-0.17024489	0.723318	47004	Aiguillon	4219	28.38	46.0
83630	-0.09812553	0.7037249	83002	Aiguines	219	116.72	800.0
36140	-0.14588618	0.7568955	36001	Aigurande	1668	28.03	420.0
7200	-0.120118245	0.7207095	7002	Ailhon	336	7.92	450.0
45230	-0.12928338	0.77834606	45002	Aillant-sur-Milleron	357	27.23	165.0
89110	-0.12421699	0.77905035	89003	Aillant-sur-Tholon	1454	18.25	120.0
33124	-0.17474067	0.72722363	33002	Aillas	668	35.03	64.0
42130	-0.12223946	0.74219286	42002	Ailleux	143	9.34	680.0
70110	-0.089208804	0.76978225	70005	Aillevans	122	5.8	300.0
10200	-0.1080181	0.78353786	10002	Ailleville	218	4.93	170.0
70320	-0.089582644	0.7755855	70006	Aillevillers-et-Lyaumont	1849	36.78	290.0
52700	-0.098650955	0.78399295	52003	Aillianville	185	23.81	417.0
72600	-0.15733849	0.79396033	72002	Aillières-Beauvoir	237	15.13	250.0
73340	-0.096752375	0.73588353	73004	Aillon-le-Jeune	337	33.8	894.0
73340	-0.096522465	0.73644453	73005	Aillon-le-Vieux	169	21.44	924.0
70300	-0.089245304	0.7726682	70007	Ailloncourt	224	9.42	280.0
27600	-0.14465305	0.8050466	27005	Ailly	775	15.67	150.0
80690	-0.13369338	0.8195368	80009	Ailly-le-Haut-Clocher	831	10.86	108.0
80250	-0.13052131	0.8133184	80010	Ailly-sur-Noye	2643	25.45	70.0
80470	-0.13188504	0.81653255	80011	Ailly-sur-Somme	3322	15.26	40.0
30470	-0.12381935	0.70515317	30006	Aimargues	3442	26.52	6.0
73210	-0.08995048	0.7341243	73006	Aime	3229	50.69	700.0
3360	-0.13486862	0.76005524	3003	Ainay-le-Château	1165	24.3	216.0
18200	-0.13667677	0.7595657	18002	Ainay-le-Vieil	198	13.82	168.0
64220	-0.19312477	0.707299	64011	Aincille	103	6.27	239.0
95510	-0.13901578	0.8025395	95008	Aincourt	657	10.09	160.0
55110	-0.10063247	0.80234	55004	Aincreville	84	9.2	200.0
54460	-0.09187893	0.7902433	54007	Aingeray	638	12.92	210.0
88140	-0.09556913	0.78124934	88003	Aingeville	68	5.74	330.0
52230	-0.10062718	0.7862381	52004	Aingoulaincourt	10	5.13	340.0
64130	-0.18939099	0.708595	64012	Ainharp	142	14.36	360.0
64220	-0.19240467	0.70823157	64013	Ainhice-Mongelos	175	10.25	220.0
64250	-0.19633193	0.71085256	64014	Ainhoa	599	16.36	120.0
70800	-0.09067489	0.7744181	70008	Ainvelle	219	6.81	270.0
88320	-0.09527725	0.77755415	88004	Ainvelle	148	9.1	300.0
80270	-0.13460307	0.8176293	80013	Airaines	2099	24.99	30.0
14370	-0.16049919	0.8068594	14005	Airan	692	13.41	27.0
8190	-0.11116205	0.8056438	8004	Aire	205	6.77	70.0
40800	-0.17959951	0.7144892	40001	Aire-sur-l'Adour	6003	58.29	80.0
62120	-0.127757	0.82853323	62014	Aire-sur-la-Lys	9661	33.11	22.0
50680	-0.17047982	0.81102717	50004	Airel	486	10.1	5.0
60600	-0.13082904	0.80747336	60008	Airion	470	6.87	76.0
62180	-0.13638383	0.8263072	62015	Airon-Notre-Dame	183	5.01	15.0
62180	-0.136298	0.82620424	62016	Airon-Saint-Vaast	231	5.95	15.0
11320	-0.15404193	0.70395887	11002	Airoux	126	5.66	190.0
79600	-0.16781765	0.7677686	79005	Airvault	3097	49.36	113.0
21110	-0.10468825	0.7641114	21005	Aiserey	1138	10.47	197.0
70500	-0.094042435	0.77554715	70009	Aisey-et-Richecourt	141	7.89	250.0
21400	-0.11027805	0.77498376	21006	Aisey-sur-Seine	196	12.88	260.0
2110	-0.1171964	0.81448436	2006	Aisonville-et-Bernoville	291	8.76	155.0
25360	-0.09074686	0.7642639	25009	Aïssey	166	10.76	440.0
21390	-0.11446825	0.7692312	21007	Aisy-sous-Thil	220	8.48	353.0
89390	-0.11458991	0.7740646	89004	Aisy-sur-Armançon	277	18.13	200.0
20244	-0.061850563	0.67661923	0	Aiti	24	12.19	739.0
73220	-0.0947184	0.7346652	73007	Aiton	1163	16.29	420.0
59310	-0.11840933	0.82449895	59004	Aix	933	6.54	40.0
19200	-0.14148489	0.74171317	19002	Aix	307	48.73	858.0
26150	-0.10662842	0.7209953	26001	Aix-en-Diois	255	16.47	580.0
62650	-0.1323083	0.82822216	62017	Aix-en-Ergny	104	4.86	115.0
62170	-0.134092	0.82664907	62018	Aix-en-Issart	210	10.34	25.0
10160	-0.11894568	0.7844604	10003	Aix-en-Othe	2131	34.83	140.0
13100	-0.10859348	0.70051587	13001	Aix-en-Provence	134222	187.53	200.0
63980	-0.1280013	0.7379496	63002	Aix-la-Fayette	100	13.01	960.0
73100	-0.098692246	0.73742366	73008	Aix-les-Bains	25732	15.71	240.0
62160	-0.12490693	0.82431936	62019	Aix-Noulette	3836	10.48	70.0
87700	-0.15597206	0.74730176	87001	Aixe-sur-Vienne	5466	22.8	210.0
7530	-0.11993357	0.72283006	7003	Aizac	169	6.47	680.0
52120	-0.10584503	0.78072685	52005	Aizanville	25	3.5	210.0
36150	-0.14544597	0.76865983	36002	Aize	126	17.08	120.0
80240	-0.1225065	0.81608033	80014	Aizecourt-le-Bas	60	3.55	100.0
80200	-0.12310159	0.8158585	80015	Aizecourt-le-Haut	100	3.72	120.0
2820	-0.115044676	0.80630827	2007	Aizelles	94	4.89	86.0
85190	-0.18532167	0.7697184	85003	Aizenay	6095	82.16	45.0
27500	-0.15076818	0.81093395	27006	Aizier	127	2.29	10.0
2370	-0.11848684	0.8058387	2008	Aizy-Jouy	242	14.63	90.0
11300	-0.15151066	0.6979987	11003	Ajac	196	5.44	270.0
20090	-0.06903002	0.6688062	0	Ajaccio	52880	83.32	20.0
23380	-0.1445049	0.75264263	23002	Ajain	1034	33.2	478.0
24210	-0.15933622	0.7365074	24004	Ajat	281	22.42	200.0
57590	-0.0884232	0.7917423	57009	Ajoncourt	91	3.47	190.0
27410	-0.15045033	0.8028868	27007	Ajou	217	9.85	140.0
7000	-0.11779168	0.7233554	7004	Ajoux	89	12.35	716.0
11240	-0.15194811	0.6989984	11004	Alaigne	300	14.45	320.0
2240	-0.11923936	0.8117721	2009	Alaincourt	465	5.98	62.0
70210	-0.092230424	0.77627724	70010	Alaincourt	89	5.88	250.0
57590	-0.0877536	0.79262674	57010	Alaincourt-la-Côte	91	4.15	290.0
11290	-0.14983313	0.70011467	11005	Alairac	708	16.68	220.0
31420	-0.16607913	0.7036391	31005	Alan	299	11.48	373.0
20212	-0.061362177	0.6749928	0	Alando	23	3.11	700.0
20167	-0.068866424	0.66978556	0	Alata	2459	30.71	437.0
7400	-0.117077775	0.71957827	7005	Alba-la-Romaine	1135	31.04	190.0
81250	-0.14517193	0.7117816	81003	Alban	848	9.89	618.0
48310	-0.13438536	0.72754836	48001	Albaret-le-Comtal	198	29.68	1000.0
48200	-0.13270222	0.72756326	48002	Albaret-Sainte-Marie	452	15.73	960.0
46140	-0.15871729	0.724254	46001	Albas	545	21.76	110.0
11360	-0.14411426	0.69612384	11006	Albas	59	22.95	250.0
67220	-0.07745083	0.78208107	67003	Albé	457	11.57	300.0
82290	-0.15971568	0.7170722	82001	Albefeuille-Lagarde	644	8.12	90.0
73410	-0.098095216	0.738979	73010	Albens	2650	15.39	360.0
15300	-0.1369413	0.731929	15025	Albepierre-Bredons	237	34.55	1060.0
80300	-0.1267013	0.8170346	80016	Albert	10065	13.81	57.0
20224	-0.06531767	0.6756182	0	Albertacce	200	97.56	880.0
73200	-0.0929483	0.7364676	73011	Albertville	17340	17.23	340.0
57670	-0.08182943	0.79262996	57011	Albestroff	639	19.06	240.0
81990	-0.14903103	0.71310425	81004	Albi	46274	45.03	174.0
31460	-0.1545964	0.7073813	31006	Albiac	159	4.82	240.0
46500	-0.15077113	0.7281639	46002	Albiac	66	3.8	386.0
82350	-0.15714303	0.7172965	82002	Albias	2338	21.78	91.0
11330	-0.14751735	0.69558525	11007	Albières	73	17.51	490.0
9310	-0.15774928	0.69425195	9004	Albiès	156	7.8	580.0
73300	-0.094133355	0.7290625	73012	Albiez-le-Jeune	57	12.45	1357.0
73300	-0.09433373	0.7286153	73013	Albiez-Montrond	382	48.89	1520.0
19190	-0.15133277	0.73485774	19003	Albignac	258	9.86	340.0
69250	-0.11138654	0.74192154	69003	Albigny-sur-Saône	2673	2.67	170.0
81240	-0.14534584	0.7042911	81005	Albine	547	17.18	325.0
20128	-0.066411525	0.6676344	0	Albitreccia	867	46.14	5.0
26140	-0.112458415	0.73114705	26002	Albon	1573	26.13	174.0
7190	-0.11855341	0.72445434	7006	Albon-d'Ardèche	165	9.19	630.0
7440	-0.114594206	0.72609264	7007	Alboussière	756	18.34	546.0
19380	-0.14945813	0.73455846	19004	Albussac	668	36.4	400.0
74540	-0.09710429	0.73944324	74002	Alby-sur-Chéran	1630	6.55	387.0
64470	-0.18973777	0.70574635	64015	Alçay-Alçabéhéty-Sunharette	246	34.81	248.0
64430	-0.19618905	0.7071048	64016	Aldudes	395	23.27	370.0
62850	-0.13290648	0.8319116	62020	Alembon	395	9.28	100.0
61000	-0.15999192	0.7948698	61001	Alençon	28935	10.74	130.0
66200	-0.14187424	0.6893227	66002	Alénya	2318	5.72	8.0
20270	-0.058703057	0.6713154	0	Aléria	1966	63.77	20.0
30100	-0.1244125	0.7130211	30007	Alès	39346	23.32	140.0
11580	-0.15015946	0.6968693	11008	Alet-les-Bains	464	24.32	200.0
62650	-0.13429718	0.8274123	62021	Alette	249	13.98	35.0
9320	-0.1629683	0.69714975	9005	Aleu	122	14.15	736.0
74290	-0.09436861	0.74038386	74003	Alex	792	16.85	576.0
53240	-0.17039149	0.79326916	53002	Alexain	402	16.44	126.0
26770	-0.11295819	0.7180476	26003	Aleyrac	45	6.66	480.0
94140	-0.13248698	0.79675496	94002	Alfortville	36232	3.7	33.0
20220	-0.06655433	0.6805685	0	Algajola	216	1.68	10.0
81470	-0.15306011	0.7078941	81006	Algans	200	14.47	200.0
68600	-0.07521662	0.77573043	68001	Algolsheim	982	7.24	190.0
57440	-0.09023085	0.8010332	57012	Algrange	6198	6.84	236.0
39270	-0.10099977	0.75337756	39007	Alièze	144	5.85	600.0
34290	-0.13523838	0.7029343	34009	Alignan-du-Vent	1134	17.55	96.0
8310	-0.109279566	0.8040482	8005	Alincourt	78	8.97	96.0
62142	-0.13399856	0.83114403	62022	Alincthun	343	9.93	98.0
21150	-0.11180571	0.77141553	21008	Alise-Sainte-Reine	674	3.85	330.0
7210	-0.1163089	0.7222544	7008	Alissas	1026	12.47	240.0
69380	-0.11340356	0.7429985	69004	Alix	690	3.63	280.0
26300	-0.11089511	0.7261718	26004	Alixan	2080	28.17	184.0
27460	-0.14499967	0.8079394	27008	Alizay	1262	8.7	20.0
54170	-0.09330214	0.7870564	54008	Allain	387	16.64	300.0
80200	-0.123539396	0.8158939	80017	Allaines	395	8.39	60.0
28310	-0.14087196	0.7874401	28002	Allaines-Mervilliers	274	22.18	141.0
28500	-0.14534235	0.7973835	28003	Allainville	120	5.34	137.0
78660	-0.13936444	0.7916619	78009	Allainville	293	16.3	153.0
56350	-0.18847395	0.78643745	56001	Allaire	3188	42.46	60.0
54800	-0.09386338	0.7972154	54009	Allamont	110	9.32	216.0
54112	-0.09444357	0.78715664	54010	Allamps	511	7.28	300.0
26780	-0.11484735	0.7183136	26005	Allan	1385	29.24	150.0
15160	-0.13581364	0.73399556	15001	Allanche	1101	50.98	980.0
8130	-0.1066432	0.8056422	8006	Alland'Huy-et-Sausseuil	215	8.7	96.0
88110	-0.08074245	0.7846236	88005	Allarmont	271	13.24	347.0
17150	-0.17681757	0.74383134	17005	Allas-Bocage	150	10.95	70.0
17500	-0.1746336	0.7449374	17006	Allas-Champagne	184	7.75	67.0
24220	-0.15963122	0.7308719	24006	Allas-les-Mines	224	7.26	71.0
19240	-0.1534262	0.73735577	19005	Allassac	3366	38.8	179.0
13190	-0.10855383	0.697139	13002	Allauch	18907	50.46	191.0
43270	-0.12645562	0.73211855	43003	Allègre	1007	23.97	1040.0
30500	-0.12235639	0.7140089	30008	Allègre-les-Fumades	616	25.2	130.0
13980	-0.11186081	0.7038185	13003	Alleins	2071	17.01	159.0
04550	-0.10105735	0.70415604	4004	Allemagne-en-Provence	379	33.18	420.0
51260	-0.117417835	0.79099864	51004	Allemanche-Launay-et-Soyer	115	15.13	75.0
24600	-0.16747154	0.74035496	24007	Allemans	540	18.81	118.0
47800	-0.16980733	0.72906274	47005	Allemans-du-Dropt	447	6.47	39.0
2320	-0.11915038	0.8063745	2010	Allemant	117	5.2	100.0
51120	-0.11689978	0.793696	51005	Allemant	169	15.65	220.0
38114	-0.09818084	0.72748786	38005	Allemond	765	56.76	820.0
80530	-0.13917334	0.8206237	80018	Allenay	279	2.21	93.0
48190	-0.12864265	0.72089684	48003	Allenc	189	39.2	1063.0
25490	-0.08367816	0.7682316	25011	Allenjoie	583	6.53	336.0
59251	-0.12197782	0.82583225	59005	Allennes-les-Marais	3234	5.59	25.0
67310	-0.07631489	0.7872469	67004	Allenwiller	453	6.01	240.0
21230	-0.11314903	0.7654401	21009	Allerey	181	19.13	400.0
71350	-0.10735875	0.75972986	71003	Allerey-sur-Saône	616	16.58	191.0
71380	-0.10799077	0.75820184	71004	Allériot	814	13.53	190.0
80270	-0.1351048	0.8176617	80019	Allery	752	13.15	40.0
24480	-0.1620481	0.7317442	24005	Alles-sur-Dordogne	321	9.5	60.0
15100	-0.13469288	0.7291458	15002	Alleuze	193	25.67	880.0
38580	-0.09724903	0.7319813	38006	Allevard	3081	35.17	460.0
74540	-0.09650645	0.73819876	74004	Allèves	262	8.84	650.0
26400	-0.11269718	0.7226758	26006	Allex	2009	20.36	160.0
43150	-0.12380859	0.7263477	43004	Alleyrac	118	11.44	1080.0
43580	-0.1275045	0.727141	43005	Alleyras	231	25.14	790.0
